"","pgovwin","govpoints","benchcalls"
"829",0.172,1.0003,0.4827
"830",0.171,1.0085,0.4709
"831",0.17,1.00415,0.4784
"832",0.169,0.997550000000001,0.4935
"833",0.168,0.997549999999998,0.4886
"834",0.167,0.9942,0.4819
"835",0.166,0.98465,0.4834
"836",0.165,0.9909,0.4824
"837",0.164,0.9903,0.4829
"838",0.163,0.98935,0.4919
"839",0.162,0.986299999999999,0.4858
"840",0.161,0.98315,0.4906
"841",0.16,0.977,0.4994
"842",0.159,0.9778,0.4888
"843",0.158,0.97615,0.4933
"844",0.157,0.97535,0.4994
"845",0.156,0.968650000000002,0.5013
"846",0.155,0.97635,0.4944
"847",0.154,0.9706,0.5
"848",0.153,0.969650000000001,0.5012
"849",0.152,0.9643,0.5107
"850",0.151,0.96725,0.4995
"851",0.15,0.9667,0.5022
"852",0.149,0.964650000000001,0.4979
"853",0.148,0.967449999999999,0.5027
"854",0.147,0.962400000000001,0.5034
"855",0.146,0.9514,0.514
"856",0.145,0.951249999999999,0.5118
"857",0.144,0.9648,0.5007
"858",0.143,0.949550000000001,0.5101
"859",0.142,0.95165,0.5091
"860",0.141,0.94015,0.5166
"861",0.14,0.942749999999999,0.5188
"862",0.139,0.93335,0.5258
"863",0.138,0.941200000000001,0.5204
"864",0.137,0.945399999999999,0.5156
"865",0.136,0.93895,0.518
"866",0.135,0.93535,0.5319
"867",0.134,0.9346,0.5264
"868",0.133,0.93345,0.523
"869",0.132,0.92325,0.5284
"870",0.131,0.928,0.5244
"871",0.13,0.9232,0.5366
"872",0.129,0.9195,0.5335
"873",0.128,0.91825,0.5353
"874",0.127,0.916450000000001,0.5408
"875",0.126,0.9095,0.5431
"876",0.125,0.92245,0.5346
"877",0.124,0.913350000000001,0.5338
"878",0.123,0.92325,0.5305
"879",0.122,0.915100000000001,0.5341
"880",0.121,0.910349999999999,0.549
"881",0.12,0.912949999999999,0.5394
"882",0.119,0.90095,0.5513
"883",0.118,0.90305,0.5467
"884",0.117,0.89025,0.5515
"885",0.116,0.897249999999999,0.548
"886",0.115,0.905499999999999,0.5431
"887",0.114,0.8946,0.5509
"888",0.113,0.8963,0.5495
"889",0.112,0.8883,0.5573
"890",0.111,0.89755,0.5457
"891",0.11,0.895849999999999,0.554
"892",0.109,0.8945,0.5502
"893",0.108,0.8833,0.5576
"894",0.107,0.88245,0.5587
"895",0.106,0.885950000000002,0.5586
"896",0.105,0.8812,0.5665
"897",0.104,0.87205,0.5708
"898",0.103,0.86885,0.5692
"899",0.102,0.86505,0.5778
"900",0.101,0.863549999999999,0.5738
"901",0.1,0.87295,0.5733
"902",0.099,0.8562,0.5898
"903",0.098,0.8626,0.5805
"904",0.097,0.86215,0.5812
"905",0.096,0.8562,0.5826
"906",0.095,0.8555,0.581
"907",0.094,0.8538,0.5814
"908",0.093,0.847349999999999,0.5982
"909",0.092,0.84395,0.5917
"910",0.091,0.848050000000001,0.5951
"911",0.09,0.8399,0.5947
"912",0.089,0.833500000000001,0.5984
"913",0.088,0.83415,0.5976
"914",0.087,0.829950000000002,0.6083
"915",0.086,0.8301,0.606
"916",0.085,0.835049999999999,0.601
"917",0.084,0.82505,0.6089
"918",0.083,0.827450000000001,0.6022
"919",0.082,0.82665,0.6088
"920",0.081,0.82015,0.61
"921",0.08,0.82015,0.6044
"922",0.079,0.8184,0.616
"923",0.078,0.812699999999999,0.6165
"924",0.077,0.809400000000001,0.6221
"925",0.076,0.8055,0.6211
"926",0.075,0.80815,0.6217
"927",0.074,0.81375,0.6177
"928",0.073,0.807100000000001,0.6245
"929",0.072,0.8004,0.6286
"930",0.071,0.80235,0.6257
"931",0.07,0.79555,0.6345
"932",0.069,0.7857,0.6441
"933",0.068,0.79385,0.6386
"934",0.067,0.7901,0.6413
"935",0.066,0.7762,0.6504
"936",0.065,0.7861,0.645
"937",0.064,0.787850000000001,0.6462
"938",0.063,0.776250000000001,0.6559
"939",0.062,0.78315,0.6475
"940",0.061,0.776300000000001,0.6525
"941",0.06,0.775000000000001,0.6503
"942",0.059,0.7698,0.66
"943",0.058,0.76625,0.6636
"944",0.057,0.76255,0.663
"945",0.056,0.7575,0.6639
"946",0.055,0.751800000000001,0.6749
"947",0.054,0.76135,0.6661
"948",0.053,0.7512,0.6773
"949",0.052,0.750449999999999,0.6805
"950",0.051,0.7493,0.6802
"951",0.05,0.751449999999999,0.6771
"952",0.049,0.7466,0.6787
"953",0.048,0.74045,0.6899
"954",0.047,0.7366,0.6938
"955",0.046,0.73145,0.6973
"956",0.045,0.73295,0.6946
"957",0.044,0.726600000000001,0.698
"958",0.043,0.723499999999999,0.702
"959",0.042,0.72045,0.705
"960",0.041,0.7173,0.713
"961",0.04,0.72185,0.7086
"962",0.039,0.71195,0.7168
"963",0.038,0.715350000000001,0.7115
"964",0.037,0.70565,0.7219
"965",0.036,0.7061,0.7276
"966",0.035,0.70015,0.7298
"967",0.034,0.6886,0.7427
"968",0.033,0.695,0.7323
"969",0.032,0.6958,0.7357
"970",0.031,0.68255,0.7497
"971",0.03,0.6825,0.7459
"972",0.029,0.683199999999999,0.7457
"973",0.028,0.674,0.7589
"974",0.027,0.6674,0.7622
"975",0.026,0.66565,0.7697
"976",0.025,0.66775,0.7632
"977",0.024,0.6574,0.7809
"978",0.023,0.6651,0.7692
"979",0.022,0.65635,0.7778
"980",0.021,0.649850000000001,0.7859
"981",0.02,0.63935,0.7987
"982",0.019,0.63735,0.8007
"983",0.018,0.6395,0.7957
"984",0.017,0.631449999999999,0.8102
"985",0.016,0.637,0.8012
"986",0.015,0.624349999999998,0.8186
"987",0.014,0.6216,0.8267
"988",0.013,0.616,0.828
"989",0.012,0.60885,0.8371
"990",0.011,0.60345,0.847
"991",0.01,0.59785,0.852
"992",0.00900000000000001,0.5915,0.8608
"993",0.00800000000000001,0.58555,0.8674
"994",0.00700000000000001,0.5806,0.8741
"995",0.006,0.57515,0.8836
"996",0.005,0.56525,0.8959
"997",0.004,0.55775,0.9079
"998",0.003,0.55065,0.919
"999",0.002,0.53855,0.9362
"1000",0.001,0.5276,0.9539
"1001",0,0.5,1
